Date,Category,Cost,Currency,Person1,Person2,Person3,Person4
2018-11-11,Dining out,180.0,INR,0.0,90.0,-90.0,0.0
2018-11-18,Dining out,210.0,INR,0.0,105.0,0.0,-105.0
2018-11-21,Electricity,920.0,INR,0.0,-306.66,613.33,-306.67
2018-11-22,Dining out,398.0,INR,0.0,-132.67,265.33,-132.66
2018-11-29,General,100.0,INR,0.0,66.67,-33.34,-33.33
2018-11-30,Dining out,500.0,INR,0.0,250.0,-250.0,0.0
2018-12-01,TV/Phone/Internet,200.0,INR,0.0,-66.67,-66.66,133.33
2018-12-03,Rent,9500.0,INR,0.0,-3166.66,6333.33,-3166.67
2018-12-05,Dining out,100.0,INR,0.0,50.0,0.0,-50.0
2018-12-05,General,2167.0,INR,0.0,-722.34,1444.67,-722.33
2018-12-06,General,140.0,INR,0.0,-46.66,-46.67,93.33
2018-12-13,Water,100.0,INR,0.0,66.66,-33.33,-33.33
2018-12-13,Movies,454.0,INR,0.0,227.0,0.0,-227.0
2018-12-16,Dining out,90.0,INR,0.0,45.0,0.0,-45.0
2018-12-26,Electricity,792.0,INR,0.0,-264.0,528.0,-264.0
2018-12-29,Dining out,209.0,INR,0.0,104.5,-104.5,0.0
2018-12-29,General,230.0,INR,0.0,115.0,-115.0,0.0
2019-01-01,General,2050.0,INR,0.0,1025.0,-1025.0,0.0
2019-01-01,Dining out,260.0,INR,0.0,130.0,-130.0,0.0
2019-01-01,Dining out,300.0,INR,0.0,150.0,-150.0,0.0
2019-01-01,Rent,9500.0,INR,0.0,-3166.67,6333.34,-3166.67
2019-01-02,General,140.0,INR,0.0,70.0,-70.0,0.0
2019-01-06,Groceries,1235.0,INR,0.0,-411.67,823.34,-411.67
2019-01-08,Water,100.0,INR,0.0,-33.34,-33.33,66.67
2019-01-08,TV/Phone/Internet,120.0,INR,0.0,-40.0,-40.0,80.0
2019-01-12,Dining out,120.0,INR,0.0,60.0,0.0,-60.0
2019-01-12,Groceries,120.0,INR,0.0,80.0,-40.0,-40.0
2019-01-12,Dining out,278.0,INR,0.0,139.0,0.0,-139.0
2019-01-14,Dining out,100.0,INR,0.0,50.0,0.0,-50.0
2019-01-15,Gifts,458.0,INR,0.0,457.98,-457.96,-0.02
2019-01-18,Electricity,643.0,INR,0.0,-214.33,428.66,-214.33
2019-01-19,Dining out,248.0,INR,0.0,124.0,0.0,-124.0
2019-01-19,Dining out,135.0,INR,0.0,90.0,-45.0,-45.0
2019-01-19,Dining out,230.0,INR,0.0,153.34,-76.67,-76.67
2019-01-19,Dining out,115.0,INR,0.0,57.5,0.0,-57.5
2019-01-20,Groceries,300.0,INR,0.0,-150.0,0.0,150.0
2019-01-20,TV/Phone/Internet,123.0,INR,0.0,61.5,0.0,-61.5
2019-01-20,Dining out,90.0,INR,0.0,45.0,0.0,-45.0
2019-01-26,General,300.0,INR,0.0,300.0,-200.0,-100.0
2019-01-26,Dining out,288.0,INR,0.0,-96.0,192.0,-96.0
2019-01-27,Dining out,130.0,INR,0.0,86.67,-43.34,-43.33
2019-01-27,Groceries,230.0,INR,0.0,-76.67,-76.67,153.34
2019-01-27,Water,100.0,INR,0.0,-33.33,-33.34,66.67
2019-01-28,Groceries,140.0,INR,0.0,-46.66,93.33,-46.67
2019-01-29,Dining out,100.0,INR,0.0,-50.0,0.0,50.0
2019-02-01,Rent,9500.0,INR,0.0,-3166.67,6333.34,-3166.67
2019-02-04,Dining out,246.0,INR,0.0,123.0,0.0,-123.0
2019-02-08,TV/Phone/Internet,189.0,INR,0.0,-63.0,126.0,-63.0
2019-02-08,General,300.0,INR,0.0,-100.0,200.0,-100.0
2019-02-10,General,430.0,INR,0.0,286.67,-143.34,-143.33
2019-02-12,General,800.0,INR,0.0,-266.66,533.33,-266.67
2019-02-17,Water,100.0,INR,0.0,-33.33,66.66,-33.33
2019-02-19,Electricity,663.0,INR,0.0,-221.0,442.0,-221.0
2019-03-05,Rent,9500.0,INR,0.0,-3166.67,6333.34,-3166.67
2019-03-11,Dining out,184.0,INR,0.0,92.0,0.0,-92.0
2019-03-12,General,155.0,INR,0.0,77.5,0.0,-77.5
